  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG 
 16957704,CENT     ,1900-01-20,06:33:00   , 20.0000,-105.0000,  0.0,      ,B&D      ,UK    , 8.2
 16957713,CENT     ,1900-07-29,06:59:00   ,-10.0000, 165.0000,  0.0,      ,B&D      ,UK    , 8.1
 16957717,CENT     ,1900-10-09,12:28:00   , 57.0900,-153.4800,  0.0,      ,B&D      ,UK    , 8.2
 16957719,CENT     ,1900-10-29,09:11:00   , 11.0000, -66.0000,  0.0,      ,B&D      ,UK    , 8.4
 16957737,CENT     ,1901-08-09,13:01:00   ,-22.0000, 170.0000,  0.0,      ,B&D      ,UK    , 8.4
 16957736,CENT     ,1901-08-09,18:33:00   , 40.6000, 142.3000, 35.0,      ,B&D      ,UK    , 8.2
 16957763,CENT     ,1902-04-19,02:23:00   , 14.0000, -91.0000,  0.0,      ,B&D      ,UK    , 8.2
 16957769,CENT     ,1902-08-22,03:00:00   , 40.0000,  77.0000,  0.0,      ,B&D      ,UK    , 8.6
 16957777,CENT     ,1902-09-22,01:46:00   , 18.0000, 146.0000,  0.0,      ,B&D      ,UK    , 8.1
 16957778,CENT     ,1902-09-23,20:18:00   , 16.0000, -93.0000,  0.0,      ,B&D      ,UK    , 8.4
 16957788,CENT     ,1903-01-14,01:47:00   , 15.0000, -98.0000,  0.0,      ,B&D      ,UK    , 8.2
 16957792,CENT     ,1903-02-27,00:43:00   , -8.0000, 106.0000,  0.0,      ,B&D      ,UK    , 8.1
 16957798,CENT     ,1903-06-02,13:17:00   , 57.0000,-156.0000,  0.0,      ,B&D      ,UK    , 8.3
 16957800,CENT     ,1903-08-11,04:32:54   , 36.3600,  22.9700, 80.0,      ,B&D      ,UK    , 8.1
 16957820,ISC      ,1904-06-25,14:45:39.96, 51.5646, 161.4174, 15.0,TRUE  ,PAS      ,MS    , 8.0
 16957819,ISC      ,1904-06-25,21:00:37.58, 52.8642, 160.4449, 30.0,TRUE  ,PAS      ,MS    , 8.1
   914306,GUTE     ,1904-08-27,21:56:06   , 64.0000,-151.0000, 35.0,TRUE  ,CFR      ,UK    , 8.3
 16957834,ISC      ,1905-01-22,02:43:58.14,  0.5723, 122.8165, 90.0,TRUE  ,B&D      ,UK    , 8.4
 16957848,ISC      ,1905-04-04,00:49:59.48, 32.6359,  76.7878, 20.0,TRUE  ,PAS      ,MS    , 8.0
 16957859,ISC      ,1905-07-09,09:40:39.79, 49.7093,  98.4833, 15.0,TRUE  ,PAS      ,MS    , 8.2
 16957865,ISC      ,1905-07-23,02:46:22.92, 49.3688,  96.6103, 15.0,TRUE  ,PAS      ,MS    , 8.2
 16957883,ISC      ,1906-01-21,13:49:33.81, 34.1671, 138.1014,300.0,TRUE  ,PAS      ,MS    , 8.0
 16957884,ISC      ,1906-01-31,15:36:10.77,  0.9548, -79.3685, 20.0,TRUE  ,ISC      ,MS    , 8.2
 16957905,ISC      ,1906-04-18,13:12:27.11, 38.0564,-122.4035, 10.0,TRUE  ,ISC      ,MS    , 8.4
 16957912,ISC      ,1906-08-17,00:11:10.50, 51.8527, 178.1798,110.0,TRUE  ,PAS      ,MS    , 8.0
 16957911,ISC      ,1906-08-17,00:40:04.25,-32.4000, -71.4000, 35.0,TRUE  ,PAS      ,MS    , 8.4
 16957920,ISC      ,1906-09-14,16:04:43.93, -6.2490, 147.2806, 35.0,TRUE  ,ISC      ,MS    , 8.1
 16957951,ISC      ,1907-04-15,06:08:25.34, 16.5132, -97.3038, 30.0,TRUE  ,PAS      ,MS    , 8.1
 16957975,ISC      ,1907-10-21,04:23:43.83, 39.1788,  70.5852, 20.0,TRUE  ,PAS      ,MS    , 8.0
